userId,movieId,rating,timestamp,title
15,157,2.0,1052896975,Star Trek III: The Search for Spock
15,160,0.5,1093028411,The Arrival of a Train at La Ciotat
15,161,3.0,1093028319,Ocean's Eleven
15,162,4.0,997938676,Edward Scissorhands
15,163,2.0,1166586021,Ocean's Twelve
15,164,4.0,997938413,Breakfast at Tiffany's
15,165,3.0,1093028183,Back to the Future Part II
15,170,2.5,1166586376,28 Days Later
15,172,1.0,1093070329,Star Trek V: The Final Frontier
15,175,4.0,1166587180,The Big Blue
15,176,4.0,1046209579,Saw
15,180,3.0,1166586276,Minority Report
15,185,2.0,1052896916,A Clockwork Orange
15,193,1.0,1193435347,Star Trek: Generations
15,196,2.0,1093070170,Back to the Future Part III
15,198,1.5,1134521967,To Be or Not to Be
15,208,1.5,1193435482,Unknown
15,214,2.0,1033345241,Saw III
15,215,4.5,1054449903,Saw II
15,216,1.0,1349622582,Ali: Fear Eats the Soul
15,223,4.0,997939415,Rebecca
15,225,1.0,1134521432,Man of Iron
15,230,1.0,1033345068,Unknown
15,231,3.5,1093028308,Syriana
15,232,4.0,1033345227,Rumble Fish
15,233,4.0,1033344772,The Wanderers
15,235,4.0,997939415,Stand by Me
15,237,3.5,1166586251,Young Adam
15,246,5.0,997938656,Zatoichi
15,247,2.0,997938567,The Killing
15,252,2.0,1093070318,Willy Wonka & the Chocolate Factory
15,253,2.0,1093028328,Live and Let Die
15,260,5.0,997938437,The 39 Steps
15,265,1.0,1058250479,Lili Marleen
15,288,2.0,1093028372,High Noon
15,292,1.0,1093028298,Dave Chappelle's Block Party
15,293,5.0,997938567,A River Runs Through It
15,296,5.0,997938771,Terminator 3: Rise of the Machines
15,300,4.0,1054449869,The Science of Sleep
15,306,5.0,997938737,Beverly Hills Cop III
15,307,4.0,997938894,"Rome, Open City"
15,308,4.0,1052897100,Broken Flowers
15,316,3.0,1052896866,Grill Point
15,317,1.0,1093028399,Grbavica: The Land of My Dreams
15,318,2.0,997938727,The Million Dollar Hotel
15,322,2.5,1120209787,Mystic River
15,329,1.5,1093028255,Jurassic Park
15,335,2.0,997938391,Once Upon a Time in the West
15,339,2.5,1122576622,Night on Earth
15,342,3.0,1058250589,Summer Storm
15,344,2.0,1093028220,"Bang, Boom, Bang"
15,349,3.0,997939193,Cockles and Muscles
15,353,3.0,1093070088,Unknown
15,355,0.5,1122576667,Unknown
15,356,1.0,1058250631,Unknown
15,357,3.5,1058250490,Unknown
15,364,4.0,997939065,Batman Returns
15,367,2.0,1374637824,Unknown
15,370,3.5,1122576670,Unknown
15,371,2.0,1443385370,Unknown
