userId,movieId,rating,timestamp,title
1,31,2.5,1260759144,Unknown
1,1029,3.0,1260759179,Unknown
1,1061,3.0,1260759182,Unknown
1,1129,2.0,1260759185,Unknown
1,1172,4.0,1260759205,Unknown
1,1263,2.0,1260759151,Unknown
1,1287,2.0,1260759187,Unknown
1,1293,2.0,1260759148,Unknown
1,1339,3.5,1260759125,Unknown
1,1343,2.0,1260759131,Unknown
1,1371,2.5,1260759135,Rocky III
1,1405,1.0,1260759203,Greed
1,1953,4.0,1260759191,Unknown
1,2105,4.0,1260759139,American Pie
1,2150,3.0,1260759194,Unknown
1,2193,2.0,1260759198,My Tutor
1,2294,2.0,1260759108,Jay and Silent Bob Strike Back
1,2455,2.5,1260759113,Confidentially Yours
1,2968,1.0,1260759200,Unknown
1,3671,3.0,1260759117,Unknown
2,10,4.0,835355493,Unknown
2,17,5.0,835355681,The Dark
2,39,5.0,835355604,Unknown
2,47,4.0,835355552,Unknown
2,50,4.0,835355586,Unknown
2,52,3.0,835356031,Unknown
2,62,3.0,835355749,2001: A Space Odyssey
2,110,4.0,835355532,Three Colors: Red
2,144,3.0,835356016,Wings of Desire
2,150,5.0,835355395,48 Hrs.
2,153,4.0,835355441,Lost in Translation
2,161,3.0,835355493,Ocean's Eleven
2,165,3.0,835355441,Back to the Future Part II
2,168,3.0,835355710,Star Trek IV: The Voyage Home
2,185,3.0,835355511,A Clockwork Orange
2,186,3.0,835355664,Lucky Number Slevin
2,208,3.0,835355511,Unknown
2,222,5.0,835355840,Berlin: Symphony of a Great City
2,223,1.0,835355749,Rebecca
2,225,3.0,835355552,Man of Iron
2,235,3.0,835355664,Stand by Me
2,248,3.0,835355896,Pocketful of Miracles
2,253,4.0,835355511,Live and Let Die
2,261,4.0,835355681,Cat on a Hot Tin Roof
2,265,5.0,835355697,Lili Marleen
2,266,5.0,835355586,Contempt
2,272,3.0,835355767,Batman Begins
2,273,4.0,835355779,The White Sound
2,292,3.0,835355492,Dave Chappelle's Block Party
2,296,4.0,835355395,Terminator 3: Rise of the Machines
2,300,3.0,835355532,The Science of Sleep
2,314,4.0,835356044,Catwoman
2,317,2.0,835355551,Grbavica: The Land of My Dreams
2,319,1.0,835355918,True Romance
2,339,3.0,835355492,Night on Earth
2,349,4.0,835355441,Cockles and Muscles
2,350,4.0,835355697,The Devil Wears Prada
2,356,3.0,835355628,Unknown
2,357,3.0,835355749,Unknown
2,364,3.0,835355604,Batman Returns
2,367,3.0,835355619,Unknown
2,370,2.0,835355932,Unknown
2,371,3.0,835355968,Unknown
2,372,3.0,835356094,Unknown
2,377,3.0,835355710,A Nightmare on Elm Street
2,382,3.0,835356165,Unknown
2,405,2.0,835356246,La Strada
2,410,3.0,835355532,Summer in Berlin
2,454,4.0,835355604,Romeo + Juliet
2,457,3.0,835355511,Sissi
2,468,4.0,835355790,My Own Private Idaho
2,474,2.0,835355828,Unknown
2,480,4.0,835355643,Monsoon Wedding
2,485,3.0,835355918,Unknown
2,497,3.0,835355880,The Green Mile
2,500,4.0,835355731,Reservoir Dogs
2,508,4.0,835355860,Love Actually
2,509,4.0,835355719,Notting Hill
2,515,4.0,835355817,Unknown
2,527,4.0,835355731,Once Were Warriors
2,537,4.0,835356199,Not Here to Be Loved
2,539,3.0,835355767,Psycho
2,550,3.0,835356109,Fight Club
2,551,5.0,835355767,The Poseidon Adventure
2,552,3.0,835355860,Bread and Tulips
2,585,5.0,835355817,"Monsters, Inc."
2,586,3.0,835355790,Wag the Dog
2,587,3.0,835355779,Big Fish
2,588,3.0,835355441,Silent Hill
2,589,5.0,835355697,Unknown
2,590,5.0,835355395,The Hours
2,592,5.0,835355395,The Conversation
2,593,3.0,835355511,Solaris
2,616,3.0,835355932,The Last Samurai
2,661,4.0,835356141,The Marriage of Maria Braun
2,720,4.0,835355978,Unknown
3,60,3.0,1298861675,Unknown
3,110,4.0,1298922049,Three Colors: Red
3,247,3.5,1298861637,The Killing
3,267,3.0,1298861761,Live Flesh
3,296,4.5,1298862418,Terminator 3: Rise of the Machines
3,318,5.0,1298862121,The Million Dollar Hotel
3,355,2.5,1298861589,Unknown
3,356,5.0,1298862167,Unknown
3,377,2.5,1298923242,A Nightmare on Elm Street
3,527,3.0,1298862528,Once Were Warriors
3,588,3.0,1298922100,Silent Hill
3,592,3.0,1298923247,The Conversation
